prob,media
0.0,100.0
0.010101010101010102,94.63
0.020202020202020204,88.91
0.030303030303030304,82.92
0.04040404040404041,76.75
0.05050505050505051,71.94
0.06060606060606061,65.82
0.07070707070707072,61.08
0.08080808080808081,56.74
0.09090909090909091,51.84
0.10101010101010102,47.52
0.11111111111111112,42.29
0.12121212121212122,38.46
0.13131313131313133,35.05
0.14141414141414144,30.64
0.15151515151515152,27.47
0.16161616161616163,25.69
0.17171717171717174,23.45
0.18181818181818182,21.0
0.19191919191919193,18.74
0.20202020202020204,16.44
0.21212121212121213,15.52
0.22222222222222224,14.36
0.23232323232323235,13.07
0.24242424242424243,11.73
0.25252525252525254,11.35
0.26262626262626265,10.52
0.27272727272727276,9.65
0.2828282828282829,8.89
0.29292929292929293,8.8
0.30303030303030304,8.05
0.31313131313131315,7.5
0.32323232323232326,7.04
0.33333333333333337,6.53
0.3434343434343435,6.44
0.3535353535353536,5.66
0.36363636363636365,5.34
0.37373737373737376,4.98
0.38383838383838387,5.04
0.393939393939394,4.76
0.4040404040404041,4.42
0.4141414141414142,4.18
0.42424242424242425,4.14
0.43434343434343436,4.13
0.4444444444444445,3.78
0.4545454545454546,3.51
0.4646464646464647,3.49
0.4747474747474748,3.44
0.48484848484848486,3.29
0.494949494949495,2.95
0.5050505050505051,2.97
0.5151515151515152,3.02
0.5252525252525253,3.0
0.5353535353535354,2.76
0.5454545454545455,2.61
0.5555555555555556,2.68
0.5656565656565657,2.29
0.5757575757575758,2.3
0.5858585858585859,2.33
0.595959595959596,2.23
0.6060606060606061,2.31
0.6161616161616162,2.27
0.6262626262626263,2.05
0.6363636363636365,1.84
0.6464646464646465,1.99
0.6565656565656566,2.05
0.6666666666666667,2.11
0.6767676767676768,1.85
0.686868686868687,1.93
0.696969696969697,1.81
0.7070707070707072,1.82
0.7171717171717172,1.54
0.7272727272727273,1.66
0.7373737373737375,1.65
0.7474747474747475,1.62
0.7575757575757577,1.52
0.7676767676767677,1.55
0.7777777777777778,1.58
0.787878787878788,1.48
0.797979797979798,1.41
0.8080808080808082,1.4
0.8181818181818182,1.47
0.8282828282828284,1.34
0.8383838383838385,1.36
0.8484848484848485,1.34
0.8585858585858587,1.32
0.8686868686868687,1.33
0.8787878787878789,1.29
0.888888888888889,1.25
0.8989898989898991,1.19
0.9090909090909092,1.19
0.9191919191919192,1.17
0.9292929292929294,1.1
0.9393939393939394,1.16
0.9494949494949496,1.07
0.9595959595959597,1.07
0.9696969696969697,1.08
0.9797979797979799,1.03
0.98989898989899,1.04
1.0,1.0
