prob,media
0.0,60.0
0.010101010101010102,58.11
0.020202020202020204,56.13
0.030303030303030304,54.13
0.04040404040404041,52.93
0.05050505050505051,50.99
0.06060606060606061,48.89
0.07070707070707072,46.65
0.08080808080808081,45.75
0.09090909090909091,43.36
0.10101010101010102,41.58
0.11111111111111112,39.58
0.12121212121212122,38.17
0.13131313131313133,37.38
0.14141414141414144,34.25
0.15151515151515152,32.96
0.16161616161616163,31.37
0.17171717171717174,29.99
0.18181818181818182,28.95
0.19191919191919193,28.54
0.20202020202020204,27.26
0.21212121212121213,24.55
0.22222222222222224,24.02
0.23232323232323235,23.45
0.24242424242424243,22.33
0.25252525252525254,21.78
0.26262626262626265,21.06
0.27272727272727276,19.14
0.2828282828282829,18.55
0.29292929292929293,17.97
0.30303030303030304,16.54
0.31313131313131315,16.5
0.32323232323232326,15.61
0.33333333333333337,14.49
0.3434343434343435,14.26
0.3535353535353536,13.9
0.36363636363636365,12.97
0.37373737373737376,13.07
0.38383838383838387,11.81
0.393939393939394,11.74
0.4040404040404041,11.03
0.4141414141414142,10.4
0.42424242424242425,9.83
0.43434343434343436,9.3
0.4444444444444445,8.69
0.4545454545454546,8.46
0.4646464646464647,7.85
0.4747474747474748,7.74
0.48484848484848486,7.48
0.494949494949495,7.51
0.5050505050505051,6.11
0.5151515151515152,6.07
0.5252525252525253,6.07
0.5353535353535354,5.81
0.5454545454545455,5.47
0.5555555555555556,5.08
0.5656565656565657,4.78
0.5757575757575758,4.57
0.5858585858585859,4.3
0.595959595959596,3.94
0.6060606060606061,3.65
0.6161616161616162,3.6
0.6262626262626263,3.68
0.6363636363636365,2.88
0.6464646464646465,3.32
0.6565656565656566,2.8
0.6666666666666667,2.92
0.6767676767676768,2.43
0.686868686868687,2.39
0.696969696969697,2.26
0.7070707070707072,2.22
0.7171717171717172,2.02
0.7272727272727273,2.03
0.7373737373737375,1.87
0.7474747474747475,1.87
0.7575757575757577,1.69
0.7676767676767677,1.64
0.7777777777777778,1.39
0.787878787878788,1.68
0.797979797979798,1.49
0.8080808080808082,1.39
0.8181818181818182,1.39
0.8282828282828284,1.21
0.8383838383838385,1.26
0.8484848484848485,1.24
0.8585858585858587,1.2
0.8686868686868687,1.13
0.8787878787878789,1.1
0.888888888888889,1.12
0.8989898989898991,1.11
0.9090909090909092,1.01
0.9191919191919192,1.06
0.9292929292929294,1.03
0.9393939393939394,1.05
0.9494949494949496,1.01
0.9595959595959597,1.0
0.9696969696969697,1.01
0.9797979797979799,1.0
0.98989898989899,1.0
1.0,1.0
