prob,media
0.0,40000.0
0.010101010101010102,39197.3
0.020202020202020204,38379.0
0.030303030303030304,37561.9
0.04040404040404041,36754.2
0.05050505050505051,35977.7
0.06060606060606061,35115.4
0.07070707070707072,34333.2
0.08080808080808081,33581.8
0.09090909090909091,32776.1
0.10101010101010102,31978.1
0.11111111111111112,31216.7
0.12121212121212122,30444.1
0.13131313131313133,29637.8
0.14141414141414144,28834.3
0.15151515151515152,28113.9
0.16161616161616163,27430.9
0.17171717171717174,26584.6
0.18181818181818182,25855.6
0.19191919191919193,25116.9
0.20202020202020204,24391.6
0.21212121212121213,23712.6
0.22222222222222224,22943.4
0.23232323232323235,22303.6
0.24242424242424243,21612.2
0.25252525252525254,20862.2
0.26262626262626265,20195.1
0.27272727272727276,19565.6
0.2828282828282829,18900.1
0.29292929292929293,18270.6
0.30303030303030304,17630.8
0.31313131313131315,17038.7
0.32323232323232326,16481.2
0.33333333333333337,15907.1
0.3434343434343435,15262.6
0.3535353535353536,14741.8
0.36363636363636365,14161.7
0.37373737373737376,13642.3
0.38383838383838387,13166.8
0.393939393939394,12613.8
0.4040404040404041,12130.6
0.4141414141414142,11566.3
0.42424242424242425,11203.1
0.43434343434343436,10720.1
0.4444444444444445,10289.0
0.4545454545454546,9869.2
0.4646464646464647,9449.6
0.4747474747474748,9034.3
0.48484848484848486,8623.9
0.494949494949495,8285.4
0.5050505050505051,7918.6
0.5151515151515152,7550.3
0.5252525252525253,7236.6
0.5353535353535354,6924.2
0.5454545454545455,6528.2
0.5555555555555556,6305.2
0.5656565656565657,6011.5
0.5757575757575758,5680.8
0.5858585858585859,5495.7
0.595959595959596,5174.9
0.6060606060606061,4927.2
0.6161616161616162,4708.0
0.6262626262626263,4502.0
0.6363636363636365,4325.0
0.6464646464646465,4050.0
0.6565656565656566,3884.7
0.6666666666666667,3660.3
0.6767676767676768,3489.2
0.686868686868687,3349.1
0.696969696969697,3129.4
0.7070707070707072,2975.5
0.7171717171717172,2849.8
0.7272727272727273,2676.1
0.7373737373737375,2565.3
0.7474747474747475,2411.1
0.7575757575757577,2305.3
0.7676767676767677,2151.9
0.7777777777777778,2042.8
0.787878787878788,1932.8
0.797979797979798,1818.8
0.8080808080808082,1673.7
0.8181818181818182,1596.9
0.8282828282828284,1475.4
0.8383838383838385,1355.7
0.8484848484848485,1285.4
0.8585858585858587,1199.9
0.8686868686868687,1092.9
0.8787878787878789,996.0
0.888888888888889,930.8
0.8989898989898991,838.1
0.9090909090909092,724.6
0.9191919191919192,644.6
0.9292929292929294,570.5
0.9393939393939394,491.4
0.9494949494949496,409.4
0.9595959595959597,319.2
0.9696969696969697,240.0
0.9797979797979799,160.6
0.98989898989899,80.4
1.0,1.0
