prob,media
0.0,0.0
0.010101010101010102,78.02
0.020202020202020204,151.8
0.030303030303030304,220.72
0.04040404040404041,288.86
0.05050505050505051,346.14
0.06060606060606061,399.0
0.07070707070707072,450.58
0.08080808080808081,499.5
0.09090909090909091,540.62
0.10101010101010102,575.42
0.11111111111111112,614.46
0.12121212121212122,638.86
0.13131313131313133,666.42
0.14141414141414144,685.76
0.15151515151515152,703.98
0.16161616161616163,711.3
0.17171717171717174,729.1
0.18181818181818182,729.62
0.19191919191919193,732.74
0.20202020202020204,726.54
0.21212121212121213,714.84
0.22222222222222224,709.72
0.23232323232323235,695.26
0.24242424242424243,685.98
0.25252525252525254,659.66
0.26262626262626265,643.6
0.27272727272727276,612.58
0.2828282828282829,592.16
0.29292929292929293,560.92
0.30303030303030304,530.14
0.31313131313131315,498.4
0.32323232323232326,469.88
0.33333333333333337,432.6
0.3434343434343435,404.74
0.3535353535353536,378.8
0.36363636363636365,343.54
0.37373737373737376,323.66
0.38383838383838387,294.66
0.393939393939394,269.26
0.4040404040404041,251.44
0.4141414141414142,229.88
0.42424242424242425,210.1
0.43434343434343436,191.0
0.4444444444444445,172.84
0.4545454545454546,155.8
0.4646464646464647,144.48
0.4747474747474748,130.8
0.48484848484848486,120.96
0.494949494949495,106.56
0.5050505050505051,98.72
0.5151515151515152,88.56
0.5252525252525253,81.72
0.5353535353535354,73.86
0.5454545454545455,63.56
0.5555555555555556,56.04
0.5656565656565657,49.64
0.5757575757575758,43.94
0.5858585858585859,38.54
0.595959595959596,35.2
0.6060606060606061,31.0
0.6161616161616162,28.38
0.6262626262626263,25.12
0.6363636363636365,21.8
0.6464646464646465,18.62
0.6565656565656566,17.14
0.6666666666666667,14.62
0.6767676767676768,12.5
0.686868686868687,11.18
0.696969696969697,9.28
0.7070707070707072,7.7
0.7171717171717172,6.9
0.7272727272727273,5.78
0.7373737373737375,5.5
0.7474747474747475,4.38
0.7575757575757577,3.78
0.7676767676767677,3.38
0.7777777777777778,2.78
0.787878787878788,2.48
0.797979797979798,2.16
0.8080808080808082,2.02
0.8181818181818182,1.82
0.8282828282828284,1.62
0.8383838383838385,1.4
0.8484848484848485,1.18
0.8585858585858587,1.12
0.8686868686868687,1.14
0.8787878787878789,1.14
0.888888888888889,1.1
0.8989898989898991,1.02
0.9090909090909092,1.04
0.9191919191919192,1.02
0.9292929292929294,1.04
0.9393939393939394,1.0
0.9494949494949496,1.0
0.9595959595959597,1.0
0.9696969696969697,1.0
0.9797979797979799,1.0
0.98989898989899,1.0
1.0,1.0
